                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4475,                 3.1218,                 1.7367,                0.21705,                0.05942,                0.08129,                 0.0462,                 2.1083,                 8.3522,                  2.579,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.2396,                   2.38,                 1.6053,                0.17745,                  0.448,                0.16292,                0.07602,                 1.6111,                 3.5526,                 1.9261,             0.00036823,             0.00036823,             0.00036823
                      3,                 1.1384,                 2.1955,                 1.5351,                 0.2837,                 0.1963,                0.16016,                  0.078,                 1.7571,                 3.1066,                  2.027,             0.00053724,             0.00053724,             0.00053724
                      4,                 1.1993,                 2.1465,                 1.5785,                0.09823,                0.23768,                0.08146,                0.03192,                 1.7708,                 5.9661,                 2.0995,             0.00069041,             0.00069041,             0.00069041
                      5,                 1.2672,                 2.1359,                  1.612,                0.09524,                0.15493,                0.09603,                0.04569,                 1.8963,                 5.9492,                 2.3312,             0.00082774,             0.00082774,             0.00082774
                      6,                 1.2314,                 2.0254,                 1.6068,                0.13906,                0.28081,                0.12282,                0.06228,                  1.878,                 7.5262,                 2.2746,             0.00094922,             0.00094922,             0.00094922
                      7,                 1.2417,                 1.9597,                 1.5973,                0.59871,                 0.0493,                0.04523,                0.01872,                 2.3236,                  4.122,                 2.8181,              0.0010549,              0.0010549,              0.0010549
                      8,                  1.262,                 1.9723,                 1.6322,                0.25938,                 0.3816,                0.18364,                0.06535,                  2.094,                 3.9478,                 2.3536,              0.0011447,              0.0011447,              0.0011447
                      9,                 1.2741,                 1.9758,                 1.6091,                0.10988,                0.34331,                0.10873,                0.05218,                 2.1108,                 4.0087,                 2.3441,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.2843,                 2.0206,                 1.6312,                0.09376,                0.24723,                 0.0967,                0.04835,                 2.2987,                 3.1333,                 2.4357,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.1465,                 1.8651,                 1.5176,                0.09666,                 0.1831,                0.08973,                0.04207,                 2.0873,                 3.8021,                 2.3358,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.1621,                 1.8774,                 1.5488,                0.62454,                0.19718,                0.11383,                0.04427,                 2.2862,                 3.7205,                 2.4289,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.1386,                 1.8673,                 1.5251,                0.15566,                0.31294,                0.13733,                0.05884,                 2.0709,                 3.1573,                 2.2589,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.1273,                 1.7731,                  1.524,                0.37391,                0.40361,                0.22747,                0.10713,                 1.8228,                 2.7007,                 2.0978,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.1208,                 1.7555,                 1.4828,                 0.1113,                0.35431,                0.16218,                0.07807,                 1.9334,                 3.2541,                 2.2188,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.2935,                 1.8903,                  1.707,                0.25486,                0.32526,                0.20405,                 0.1056,                 1.7441,                 2.4629,                  1.971,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2231,                 1.8885,                 1.6287,                0.23159,                0.34969,                0.23969,                0.10921,                  1.623,                  2.284,                  1.923,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.1872,                 1.8163,                 1.6156,                0.29586,                0.28488,                 0.2341,                0.13663,                 1.5315,                 2.4228,                 1.8347,             0.00054478,             0.00054478,             0.00054478
                     19,                   1.14,                 1.7325,                 1.6132,                0.17818,                 0.3816,                0.20097,                0.11057,                    1.5,                 2.3188,                 1.8208,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.0999,                 1.6222,                 1.5257,                0.32619,                0.32923,                0.27138,                0.15574,                 1.5037,                 2.1798,                 1.8142,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.0743,                  1.543,                 1.4641,                0.24502,                0.50791,                0.27809,                0.15882,                 1.4949,                 2.1191,                 1.7907,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0788,                 1.5492,                 1.5132,                0.35287,                0.40185,                0.28805,                0.16966,                 1.5152,                 2.1768,                 1.8002,             0.00028072,             0.00028072,             0.00028072
                     23,                0.98063,                 1.3908,                 1.4211,                0.40444,                0.44289,                0.33008,                0.19324,                 1.4503,                 2.1329,                 1.7559,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.0212,                 1.4967,                 1.4442,                0.36573,                0.55037,                0.34314,                0.20964,                 1.3718,                 2.1035,                 1.6944,              0.0001487,              0.0001487,              0.0001487
                     25,                0.97756,                 1.3559,                 1.4273,                0.37226,                0.56206,                0.32926,                0.19869,                 1.3576,                 2.0622,                 1.6842,             8.2683e-05,             8.2683e-05,             8.2683e-05
