                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4522,                 3.1248,                 1.7413,                0.16239,                0.09209,                0.06877,                0.02968,                 1.7045,                 10.618,                 2.0784,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.2719,                 2.4349,                 1.6153,                 0.2087,                0.24384,                0.13116,                0.06691,                 1.5653,                  3.312,                 1.9526,             0.00036823,             0.00036823,             0.00036823
                      3,                 1.1889,                 2.2332,                 1.5406,                0.27838,                0.21567,                 0.1576,                0.07106,                 1.6543,                 2.9044,                 1.9741,             0.00053724,             0.00053724,             0.00053724
                      4,                 1.1959,                 2.1642,                 1.5581,                0.12348,                0.30106,                0.11938,                0.04559,                 1.9819,                 4.9098,                 2.2339,             0.00069041,             0.00069041,             0.00069041
                      5,                 1.2678,                 2.1186,                 1.6091,                0.10093,                 0.3794,                0.09948,                0.04113,                 2.1033,                 13.754,                 2.3952,             0.00082774,             0.00082774,             0.00082774
                      6,                 1.2551,                 2.0507,                 1.6001,                0.60351,                0.14085,                0.09795,                0.03602,                 2.3357,                 10.963,                 2.5642,             0.00094922,             0.00094922,             0.00094922
                      7,                 1.2509,                 2.0143,                 1.6062,                0.20863,                0.37368,                0.18057,                0.09199,                 2.1612,                 4.7178,                 2.5215,              0.0010549,              0.0010549,              0.0010549
                      8,                 1.2667,                  2.027,                 1.6309,                0.18063,                0.44278,                0.09654,                0.04074,                 1.9644,                 12.499,                 2.2746,              0.0011447,              0.0011447,              0.0011447
                      9,                 1.2721,                  2.002,                 1.6031,                0.08856,                0.34419,                0.09857,                0.05101,                 2.1505,                 6.2053,                 2.4227,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.2713,                 2.0041,                 1.6139,                0.14065,                0.17914,                0.07588,                0.02733,                 2.3399,                 3.9527,                 2.5977,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.1484,                 1.9177,                 1.5056,                0.18182,                0.24276,                0.11775,                0.03535,                 2.4375,                 3.9125,                 2.7505,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.1785,                 1.8998,                 1.5458,                0.19371,                0.27091,                0.13551,                0.04762,                 2.2838,                 3.1209,                  2.487,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.1517,                 1.8993,                 1.5205,                0.13487,                0.34419,                 0.1461,                0.06594,                 1.9845,                 2.9308,                 2.2063,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.1369,                 1.8464,                 1.5174,                0.20914,                0.30502,                0.16735,                0.07302,                 1.8598,                 2.7061,                 2.1814,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.1307,                 1.7982,                 1.4949,                0.09866,                0.34023,                0.10581,                0.04572,                 2.0874,                 2.9237,                 2.3394,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.3199,                 1.9871,                 1.7138,                 0.2529,                0.29401,                0.18227,                 0.0956,                 1.7208,                 2.4811,                 1.9838,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2677,                 1.9579,                 1.6643,                0.31715,                0.48944,                0.29618,                0.15125,                 1.6165,                 2.1837,                 2.0064,             0.00061079,             0.00061079,             0.00061079
                     18,                  1.202,                 1.8377,                 1.6315,                0.33382,                0.40581,                 0.2857,                0.13545,                 1.7166,                 2.2138,                 2.1086,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.2143,                 1.7732,                 1.6615,                0.33042,                0.37456,                0.28211,                0.15236,                 1.7057,                 2.1943,                 1.9635,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.1436,                 1.7105,                  1.537,                0.27734,                0.45511,                0.28839,                0.15223,                 1.6548,                 2.0781,                 1.9055,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.1112,                 1.6144,                 1.4995,                 0.2512,                0.41806,                  0.265,                0.13899,                 1.5773,                 2.1672,                 1.8542,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0887,                 1.6117,                 1.5165,                0.32135,                0.35651,                0.26243,                0.14816,                 1.5131,                 2.1391,                 1.8038,             0.00028072,             0.00028072,             0.00028072
                     23,                0.99291,                  1.486,                 1.4278,                 0.3044,                0.32526,                0.30149,                0.13948,                 1.5005,                  2.154,                 1.7758,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.0214,                 1.5145,                 1.4522,                0.29085,                0.38776,                0.30273,                0.14402,                 1.4825,                 2.0963,                 1.7655,              0.0001487,              0.0001487,              0.0001487
                     25,                0.99424,                  1.443,                 1.4431,                0.28356,                0.38776,                0.31874,                0.15274,                  1.467,                 2.0768,                 1.7497,             8.2683e-05,             8.2683e-05,             8.2683e-05
