                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.1487,                 1.7418,                 1.4918,                0.29333,                0.42298,                0.27137,                0.11236,                 1.7838,                 2.3344,                 2.0543,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.1386,                 1.8218,                 1.4862,                 0.2749,                0.32673,                0.18092,                0.07522,                 1.8544,                 2.7428,                 2.1905,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1404,                 1.8563,                 1.5314,                0.24789,                0.41637,                0.21845,                0.11428,                 1.7563,                 2.2373,                 2.0172,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.0669,                 1.7256,                 1.4575,                0.30459,                0.35343,                0.23032,                0.12958,                 1.7682,                 2.4789,                 1.9657,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.0839,                 1.6481,                 1.4542,                0.29601,                0.35739,                0.26328,                0.12665,                 1.7739,                 2.3718,                 2.0423,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.0641,                 1.6141,                 1.4238,                0.44228,                0.34639,                0.30464,                0.16149,                  1.626,                  2.289,                 1.9179,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.0654,                 1.6723,                 1.4663,                0.33929,                0.49252,                  0.308,                0.12713,                 1.7295,                 2.3308,                 2.0379,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.0327,                 1.5689,                 1.4243,                0.34891,                0.47415,                0.32724,                0.16321,                 1.6454,                 2.2684,                 1.9387,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0543,                 1.5877,                 1.4223,                0.22347,                0.39569,                0.25794,                0.13605,                  1.595,                  2.162,                 1.8821,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.0065,                 1.5442,                 1.4214,                0.21874,                0.57394,                0.26196,                0.12188,                  1.547,                 2.3162,                   1.83,             0.00077582,             0.00077582,             0.00077582
                     29,                0.99008,                 1.5868,                 1.4146,                0.32128,                0.32923,                0.28746,                0.15022,                 1.5149,                 2.2716,                 1.8226,             0.00074282,             0.00074282,             0.00074282
                     30,                0.92325,                 1.5352,                 1.3712,                0.22857,                0.36972,                 0.2718,                 0.1484,                  1.571,                 2.4697,                 1.9156,             0.00070981,             0.00070981,             0.00070981
                     31,                0.94086,                 1.5445,                 1.3862,                0.35068,                0.41197,                0.38029,                0.17385,                 1.5825,                 2.3847,                 1.8798,              0.0006768,              0.0006768,              0.0006768
                     32,                0.93491,                 1.4455,                 1.3496,                0.25808,                0.45819,                0.29498,                0.15745,                 1.6011,                 2.2391,                 1.9056,              0.0006438,              0.0006438,              0.0006438
                     33,                0.92957,                 1.4283,                 1.3611,                0.25781,                 0.3596,                0.28734,                   0.18,                 1.5273,                 2.6288,                 1.8491,             0.00061079,             0.00061079,             0.00061079
                     34,                0.91275,                 1.5054,                 1.3628,                 0.2247,                0.38776,                0.29214,                0.18594,                 1.4901,                 2.5094,                 1.8044,             0.00057778,             0.00057778,             0.00057778
                     35,                 0.9054,                 1.4491,                 1.3282,                0.33115,                0.39789,                0.30252,                0.18981,                 1.5162,                 2.3397,                 1.8065,             0.00054478,             0.00054478,             0.00054478
                     36,                0.95038,                  1.465,                 1.3914,                0.56025,                0.33445,                0.38146,                0.21885,                 1.5102,                  2.143,                 1.7946,             0.00051177,             0.00051177,             0.00051177
                     37,                0.88955,                 1.4158,                 1.3267,                0.39044,                0.40532,                0.35518,                0.22338,                 1.5223,                 2.1016,                 1.8074,             0.00047876,             0.00047876,             0.00047876
                     38,                0.87503,                  1.343,                 1.2954,                0.28401,                 0.5127,                0.30202,                0.18833,                 1.5263,                 2.2048,                 1.8631,             0.00044576,             0.00044576,             0.00044576
                     39,                0.89091,                  1.388,                 1.3452,                0.29427,                0.37764,                0.31528,                 0.1739,                 1.5063,                 2.2467,                 1.8283,             0.00041275,             0.00041275,             0.00041275
                     40,                0.81486,                 1.3088,                 1.2812,                0.50287,                0.28543,                0.37672,                0.21732,                 1.4534,                 2.1534,                 1.7712,             0.00037974,             0.00037974,             0.00037974
                     41,                0.86271,                 1.3173,                 1.2978,                0.44204,                0.37368,                 0.4182,                0.25277,                 1.4161,                 2.1616,                 1.7644,             0.00034674,             0.00034674,             0.00034674
                     42,                0.93962,                 1.3172,                 1.3813,                 0.4163,                0.40772,                0.38452,                0.24589,                 1.4477,                 2.1652,                 1.8027,             0.00031373,             0.00031373,             0.00031373
                     43,                0.83418,                 1.1986,                 1.3169,                0.34241,                0.45026,                0.35983,                0.22902,                  1.473,                 2.1832,                 1.8202,             0.00028072,             0.00028072,             0.00028072
                     44,                 0.8524,                 1.1253,                 1.3194,                0.38469,                0.42914,                0.34622,                0.21857,                 1.4889,                 2.2075,                 1.8102,             0.00024772,             0.00024772,             0.00024772
                     45,                0.82223,                 1.0867,                 1.2817,                0.32322,                0.39085,                0.30821,                0.19982,                 1.4735,                 2.2464,                 1.7981,             0.00021471,             0.00021471,             0.00021471
                     46,                  0.799,                 1.0728,                 1.2619,                0.35734,                0.41733,                0.33142,                0.21254,                 1.4369,                 2.2627,                 1.7438,              0.0001817,              0.0001817,              0.0001817
                     47,                0.81879,                 1.1006,                  1.256,                0.36886,                0.31426,                0.32384,                0.20502,                 1.4286,                 2.2625,                 1.7497,              0.0001487,              0.0001487,              0.0001487
                     48,                0.76707,                 1.0232,                 1.2654,                0.37633,                0.37676,                0.33984,                0.21631,                 1.4111,                 2.2134,                 1.7447,             0.00011569,             0.00011569,             0.00011569
                     49,                0.78666,                   1.04,                 1.2691,                0.29727,                0.48856,                0.36155,                0.23821,                 1.4031,                  2.171,                 1.7363,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 0.7551,                0.99325,                 1.2408,                0.30339,                0.57899,                0.36553,                0.24048,                 1.4208,                 2.1331,                 1.7344,             4.9677e-05,             4.9677e-05,             4.9677e-05
