                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4599,                 3.1133,                 1.7446,                0.16098,                0.11888,                0.10016,                 0.0605,                 1.6355,                 8.1043,                 2.1083,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.2699,                 2.3843,                 1.6144,                0.16594,                0.20951,                0.11742,                0.05174,                 1.9432,                 2.7868,                 2.1532,             0.00037582,             0.00037582,             0.00037582
                      3,                 1.1407,                   2.21,                 1.5115,                0.17989,                0.32218,                0.11964,                0.05636,                 2.0032,                 3.5826,                 2.2237,             0.00056035,             0.00056035,             0.00056035
                      4,                 1.2336,                 2.1267,                 1.5949,                0.17829,                0.23371,                0.11507,                0.03884,                 2.1046,                 3.7877,                 2.4256,             0.00073695,             0.00073695,             0.00073695
                      5,                 1.2924,                  2.183,                 1.6209,                0.60679,                0.11972,                0.07957,                0.03518,                 2.1981,                 8.5695,                 2.4181,             0.00090563,             0.00090563,             0.00090563
                      6,                 1.2946,                 2.1145,                 1.6288,                0.11772,                0.29489,                0.09852,                0.04338,                 2.2118,                  5.988,                 2.6733,              0.0010664,              0.0010664,              0.0010664
                      7,                 1.2856,                 2.1009,                 1.6463,                 0.1617,                 0.4441,                 0.1295,                0.04309,                 2.2875,                 6.6171,                 3.0327,              0.0012192,              0.0012192,              0.0012192
                      8,                 1.3308,                 2.1173,                 1.6706,                0.10555,                0.51937,                0.10419,                 0.0437,                 2.0632,                   17.2,                 2.7113,              0.0013642,              0.0013642,              0.0013642
                      9,                 1.3188,                 2.1411,                 1.6489,                0.09398,                0.51056,                0.09436,                 0.0326,                 2.2585,                 5.6967,                 2.7568,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2686,                  2.133,                 1.6327,                0.16294,                0.17407,                0.10643,                0.04211,                 2.1912,                 8.2048,                 2.6777,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1835,                 1.9693,                 1.5503,                 0.0627,                0.10563,                0.03638,                0.01516,                 2.4089,                 8.4575,                 2.8071,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2309,                 1.9554,                 1.6033,                0.15256,                0.35739,                 0.1611,                0.08328,                 2.1472,                 3.7879,                 2.4989,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2567,                 1.9285,                  1.623,                0.05222,                0.24252,                0.02146,                0.00854,                 2.3859,                 8.7797,                 2.5718,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2506,                 1.9272,                 1.5901,                  0.385,                0.13688,                0.12582,                0.03843,                  2.149,                   3.45,                 2.2523,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2017,                 1.8697,                 1.5403,                0.37144,                0.14701,                0.11769,                0.06998,                  2.193,                 3.6246,                 2.4328,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1772,                 1.8518,                 1.5259,                0.14768,                0.13688,                0.07412,                0.02706,                 2.2829,                 3.8071,                  2.429,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1293,                 1.8059,                 1.5043,                0.29338,                0.27289,                0.23582,                0.10517,                 1.8317,                 3.0023,                 2.1265,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1002,                 1.8164,                 1.4923,                0.45808,                0.23063,                0.26848,                0.12857,                 1.8135,                 2.6429,                 2.0538,              0.0011059,              0.0011059,              0.0011059
